rating,comment_processed
1,felt like gripping intelligent stage play without overly theatrical feeling one actually get watching people stage play everyone terror white lie escalating monstrous consequence
1,outstanding little restaurant best food ever tasted
1,service outshining definitely recommend halibut
0,long whiny pointless
0,felt insulted disrespected could talk judge another human like
1,movie good humorous comment life
1,love
1,great place eat reminds little mom pop shop san francisco bay area
0,disappointed ordered big bay plater
1,great movie
1,delicious
1,true classic
0,not death scene like previous movie f x terrible
0,sat another ten minute finally gave left
0,take business dinner dollar elsewhere
1,went bachi burger friend recommendation not disappointed
0,imdb rating go low awful time get negative number case
1,performed
0,yeah movie pretty much sucked
1,nice spicy tender
0,shameful
0,hour half wish could bring back
0,also feel like chip bought not made house
1,character funny peculiarity not true lead character
1,hope place stick around
0,left frustrated
1,loved casting jimmy buffet science teacher
0,wasted two hour
0,everything gross
0,not busy know
1,film not easily forgotten
0,server negligent need made u feel unwelcome would not suggest place
1,excellent new restaurant experienced frenchman
0,horrible attitude towards customer talk one customer not enjoy food
1,camera really like movie
0,killer not expect anything original even remotely frightening
1,easy love even easy identify
0,not waste time
0,avoid cost
1,wonderful location lie story contrast
1,kathy bates wonderful character subtle desperation escapism variation character play field lord
1,place nice surprise
0,losing marble early proceeding totally implausible unconvincing
1,ambiance incredible
1,loved place
1,not mention combination pear almond bacon big winner
1,thrilled seeing movie like
0,thoroughly disappointed
0,came back cold
0,zero star would give zero star
0,drive thru mean not want wait around half hour food somehow end going make u wait wait
1,really good show watch
0,not recommended
1,kid cool
1,seriously flavorful delight folk
1,tom wilkinson broke heart end everyone else judging amount fumbling hanky hand going face among male female alike
1,good food great atmosphere
1,game rock
1,great place highly recommend
1,steak recommended
0,several moment movie not need excruciatingly slow moving
1,no complaint
0,service terrible though
0,reflected not cast also par script borrowed much earlier classic
0,hour half waste time following bunch pretty high schoolers whine cry life
0,scallop dish quite appalling value well
1,watch however small consolation actress playing anne sister wonderful job role
0,whatever cost much not translate quality sure
1,achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layer excellent film
1,john garfield ann revere lilli plmer william conrad canada lee filmed one greatest cinematographer ever grace screen james wong howe
1,john wayne incredible job young movie industry
1,golden crispy delicious
0,buck head really expect better food
0,considering relation screen taylor stanwyck surprising little chemistry screen two
0,unfortunately set u disapppointment entree
1,like armand assante cable company summary sounded interesting watched twice already probably
1,sushi strip place go
0,self proclaimed coffee cafe wildly disappointed
0,almost unbearable watch screen little no charisma terrible comedic timing
1,sam shepard portrayal gung ho marine sobering
1,learn lot real inside emotion people movie lot movie business
0,bad food damn generic
0,least min passed u ordering food arriving not busy
1,good service clean inexpensive boot
0,little music anything speak
1,food rich order accordingly
1,fact hard remember part ray charles acted not played man
0,star trek v final frontier worst series
0,poor remake best friend wedding
0,mediocre miserable hollow laughable predictable piece garbage
0,not even achievement bad good bad memorable movie
1,perfect sit family meal get together friend
1,excellent film
1,thanks good movie like done released
1,liked movie way much
1,staff also friendly efficient
1,great food great service clean friendly setting
1,national treasure
0,mishima extremely uninteresting
1,movie trilogy
1,dessert panna cotta amazing
0,maybe vegetarian fare twice thought average best
0,food average best
0,earth iron film
1,despite pan reviewer liked movie
0,film dropped ball
1,every single character hilarious deserved called lead
1,get incredibly fresh fish prepared care
1,standout scene
1,best part nurse betty unpredictability
0,well keep thinking bad
1,first time not wait next
0,probably one least effective utterly unoriginal film ever seen entire life
1,movie kind long length enjoyed every minute
1,great place fo take eat
1,love margarita
0,puppet look really cheesy not good way like puppet master flick
0,performance not improved improvisation actor twice much worry not whether delivering line well whether line good
0,food quality horrible
1,burger good beef cooked right
1,writer gorman bechard undoubtedly homework reference industry character age appropriate
1,cast good
0,got food poisoning buffet
0,not frightening least barely comprehensible
1,fantastic neighborhood gem
1,bacon hella salty
1,not familiar check
0,way fried
0,thing happen character personality change plot twist occur no real reason script call
0,started watching not believe character
0,bad performance play angela bennett computer expert home time
0,bad everyone else involved not share crowe level dedication quality far better film hand sub par mess
1,anyone right mind ask anything movie
1,cant go wrong food
1,ever movie needed word mouth promote
1,everything could want suspense drama comedy confusing subplots native american brain eating looking end brainsucking movie look no
0,pizza tasted old super chewy not good way
1,overall like place lot
0,rude inconsiderate management
0,not impressed concept food
0,service meh
1,excellent cast story line performance
1,awesome
1,nacho must
0,frankly cotton club unfaithful kind embarrassing watch lane gere film bad
1,know gave
1,interesting premise billy drago always good dangerous nut bag side note love see drago stephen mchattie lance hendrikson flick together talk raging cheekbone
0,avoid cost
1,first visit hiro delight
1,worth drive
1,best buffet town price not beat
1,editing editing film phenomenal opinion
0,table outside also dirty lot time worker not always friendly helpful menu
0,greedy corporation never see another dime
0,instead got bore fest whiny spoiled brat babysitting
0,bad character bad story bad acting
1,friendly staff
0,mom got home immediately got sick bite salad
1,term writing fresh bold
1,fun chef
0,story predictable lazy
0,place honestly blown
1,place good
1,place like chipotle better
1,new fav vega buffet spot
1,macarons insanely good
1,service thought good
0,happened next pretty putting
1,food delicious
0,cashew cream sauce bland vegetable undercooked
1,folk otto always make u feel welcome special
1,
1,later found lost power film
0,bland not liking place number reason not want waste time bad reviewing leave
0,film way long
1,great steak great side great wine amazing dessert
0,bit predictable
0,know not like restaurant something
0,place not quality sushi not quality restaurant
1,high adventure best
0,however much garlic fondue barely edible
0,not really impressed strip steak
1,non linear narration thus many flashback every part articulated quite well
0,awful
1,say food amazing
0,politically correct
1,roast beef sandwich tasted really good
0,time side restaurant almost empty no excuse
1,handle tough issue dignity grace course shocking spoiler
0,dialogue composed thing make little sense
0,hence whole story lack certain energy
0,literally vomited watching film
1,story unfolds th century jutland use period music played period instrument one fine touch
0,got bored watching jessice lange take clothes
1,p scene movie cool central character find room blown
1,best taco town far
0,generally line plot weaker average episode
1,funny clever hip like pray previous film hype
1,insane game
0,summary witticism not witty
0,despite hard rate business actually rare give star
0,understand supposed cheap popcorn comedy not mean completely insult intelligence writing incredibly hackneyed border offensive
1,high quality chicken chicken caesar salad
1,going since every meal awesome
0,probably would not go
0,would not even good made tv flick
1,think wonderful part literally full wonder excerpt work
0,character one dimensional even good guy especially bad guy
0,crackle unpredictable youthful energy honestly found hard follow concentrate meander badly
1,personally think show people learn find compromise self without involving people issue
0,girlfriend veal bad
0,not expecting oscar material
0,would not recommend place
1,movie contained star cast loved opened eye see actor not seen
1,not screamy not masculine right
1,film offer many delight surprise
0,probably irritating show ever seen entire life
1,clever real crowd pleaser film still rank among mickey best film even wonderful year
1,give try happy
1,lovely usual cutie
0,worst salmon sashimi
1,steak well trimmed also perfectly cooked
1,scene often funny occasionally touching character evaluate life going
1,place first pho amazing
0,also fry without doubt worst fry ever
0,film look cheap bland
0,probably dirt
0,hilarious yummy christmas eve dinner remember biggest fail entire trip u
1,performance real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous
0,got home see driest damn wing ever
0,completely grossed
1,group claimed would handled u beautifully
0,least think refill water struggle wave minute
0,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing
1,hopefully director james cox turn short feature length film cast win u whole new film
0,bore piece kill momentum movie quicker anyone else
0,thing worse taylor acting stanwyck singing
0,dont think back long time
1,totally absolutely recommend movie anyone like good wholesome family movie exactly
0,nutshell restaraunt smell like combination dirty fish market sewer
1,right red velvet cake ohhh stuff good
0,one not watched recently fox movie channel disappointed
0,poor service waiter made feel like stupid every time came table
0,budget evidently limited
1,food good typical bar food
0,service stink
1,good time
0,main thing not enjoy crowd older crowd around mid
0,th century fox road house not quite silly noir implausible unmitigated bore movie
0,like final blow
0,worse incredibly weak sub plot thrown follows little band latter day mansonites go reporter working story anniversary killing
0,aside terrible lead film load debit
0,staff not friendly wait time served horrible no one even say hi first minute
1,not many word say place everything pretty well
1,best tater tot southwest
0,started tuna sashimi brownish color obviously not fresh
1,also came back check u regularly excellent service
1,saw film recommend
1,could eat bruschetta day devine
0,hated
1,place awesome want something light healthy summer
0,particular relationship bakery assistant waitress not work
0,service little slow considering served people server food coming slow pace
1,excellent performance
1,film give meaning phrase never history human conflict much owed many
0,took back money got outta
0,one worst show time
1,excellently produced one sci fi best producer scot vandiver
1,movie showed lot florida best made look appealing
0,brought fresh batch fry thinking yay something warm no
0,buffet bellagio far anticipated
0,heart attack grill downtown vega absolutely flat lined excuse restaurant
0,food not tasty not say real traditional hunan style
0,service fair best
0,painful
0,call movie drama ridiculous
1,easily none cartoon made laugh tender way getting dark sitcom oriented teenager
1,goat taco not skimp meat wow flavor
0,not know place managed served blandest food ever eaten preparing indian cuisine
1,want sandwich go firehouse
1,best scene movie gerardo trying find song keep running head
1,try airport experience tasty food speedy friendly service
1,perabo nice energy level obviously comfortable front camera
0,sorry really not recommend anyone
0,greasy unhealthy meal
1,highly recommended
0,not relate hell barely understand
1,ordered voodoo pasta first time really excellent pasta since going gluten free several year ago
1,extensive menu provides lot option breakfast
1,not think disappointed
1,really like crepe station
0,food really boring
1,side delish mixed mushroom yukon gold puree white corn beateous
0,problem charge sandwich no bigger subway sub offer better amount vegetable
0,not know big deal place not back ya
0,got food apparently never heard salt batter fish chewy
1,wonderful lil tapa ambience made feel warm fuzzy inside
1,pretty cool would say
1,overall rate movie scale
1,charming film wonderful sentiment heart
1,addition one lovely song ever written french cancan also boast one cutest leading lady ever grace screen
0,not going back
0,script bad bad contains cheesiness unethical joke normally see rated r nc movie
0,lot hole plot nothing became emperor nothing spend year childhood mature age
1,def coming back bowl next time
0,pretty picture world not make piece work flawed core
1,cant say enough good thing place
1,lastly mozzarella stick best thing ordered
0,soundtrack sucked
0,place not worth time let alone vega
1,not afraid subtitle worth little aversion therapy
1,highly recommended
1,wind lion see wonderful rendering america imperial age
1,one better buffet
1,director neil labute us brutal violence seperate dream reality along touching drama hilarious comedy never tell going happen next
1,owns film spacek owned coal miner daughter quaid owned great ball fire
1,feature outlandish array memorable psychotic lovable nut
1,conclusion loved
0,check director filmography site see film not chance
0,take little bad service food suck
1,fantastic food
0,idea lame take minor character mediocre pg film make complete non sequel changing tone pg rated family movie
1,thus far visited twice food absolutely delicious time
0,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense thing
1,interplay martin emilio contains wonderful chemistry saw wall street martin charlie
0,burger not good pizza used amazing doughy flavorless
0,great disappointment
0,disgusted pretty sure human hair
1,also great see renowned silent screenwriter france marion not missed step going silent sound
1,northern humour positive community represents
0,much say place walked expected amazing quickly disappointed
1,fry great
1,pretty surprising wonderful film made hollywood generally collective head sand concerning black white issue time
0,horrible
1,staff friendly joint always clean
0,drive get
1,seriously solid breakfast
0,manager worst
1,believe every one see movie think people outside south africa understand past attempted truth reconciliation process
0,found six inch long piece wire salsa
1,sat riveted tv screen
1,best melville
0,host staff lack better word bitch
1,ample portion good price
1,gave
0,maybe would reasonable explanation atrocity
1,one best italian thriller early
0,zillion time away reality
1,could care le interior beautiful
1,service quick friendly
1,server great job handling large rowdy table
1,entire audience applauded conclusion film
1,deserves star
0,scene oh mature neighbour girl misplace
1,awesome selection beer
0,know jim connor energetic nobody could much george well dull
1,breakfast perpared great beautiful presentation giant slice toast lightly dusted powdered sugar
1,great pork sandwich
0,not back
1,transfer good
1,stopped late may bank holiday rick steve recommendation loved
1,good price
0,service leaf lot desired
1,really really good rice time
1,flavorful perfect amount heat
1,portion huge
1,bathroom clean place well decorated
0,even love bad movie not watch movie
1,first movie given year
0,husband ate lunch disappointed food service
1,not miss
0,insult profound deuchebaggery go outside smoke break serving solidify
0,watching washing machine twirling around not hurt eye much show
1,definitely back
1,brilliant twist ending
0,least said acting better
0,kind hard mess steak
1,well acted done tv movie
0,movie seemed little slow first
0,terrible
0,avoid film cost
1,everything fresh delicious
0,sangria half glass wine full ridiculous
0,drive barking mad
1,place pretty good nice little vibe restaurant
0,not pleasant voyage self discovery
0,red curry much bamboo shoot not tasty
0,feel dining room college cooking course high class dining service slow best
0,movie not funny considering ridiculousness
0,go far many place never seen restaurant serf egg breakfast especially
0,character development also lacked depth
0,acting decidely wooden though no worse period universal b movie
0,exceptionally bad
1,song best muppets hilarious
0,ambiance not feel like buffet setting douchey indoor garden tea biscuit
1,barney definitely super de duper
1,dining space tiny elegantly decorated comfortable
0,point friend basically figured place joke not mind making publicly loudly known
1,classic maine lobster roll fantastic
1,always order vegetarian menu dinner wide array option choose
1,exquisite visual composition moment inventive elegant use close camera angle lighting including pointillistic faux home movie footage wonder joy behold
0,minute footage wasted show mediocre elderly actor awkwardly babbling overwrought pseudo satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may not made word
1,definitely worth checking
1,fan genre heaven
1,delicious nyc bagel good selection cream cheese real lox caper even
0,hopefully bodes going business someone cook come
0,also took forever bring u check asked
1,happy
0,bug never showed would given sure side wall bug climbing kitchen
0,dropped ball
1,great brunch spot
1,attention given every character complex psychological portrayal detailing loyalty treachery love hope tremendous
1,cute quaint simple honest
0,lame
0,dialogue sucked
0,rest movie lack art charm meaning emptiness work guess empty
0,chicken pho tasted bland
0,cg opening sequence space looked like could created microsoft slideshow god sake
1,jamie foxx absolutely ray charles
1,ate twice last visit especially enjoyed salmon salad
0,wait minute get drink longer get arepas
0,good thing ticket cost five dollar would mad paid see crap
1,incredible soundtrack truly capture essence film
0,final word show real torture
0,terrible service
1,love
1,not disappointed
0,acting terrible writing worse
0,not returning
0,thing not crazy guacamole not like pur ed
1,juano hernandez exceptional actor played supporting role many film era proud black man accused murdering white man south
1,good cinematography also make monica bellucci look beautiful
0,went lunch service slow
1,back good bbq lighter fare reasonable pricing tell public back old way
1,get inside impressed place
1,lovely little thriller hitchcock lot nice shenanigan surrounding murdered spy kidnapped child nasty church foreign plot random taxidermist
1,also music mark snow possibly best score ever heard
1,carry movie well
1,year however reminded u huston still top game evinced faithful adaptation james joyce acclaimed novella dead
0,result well shame
1,good beer drink selection good food selection
0,film nothing pretext show ridiculous action scene
1,walked away stuffed happy first vega buffet experience
1,make story different terrific production value faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history
0,go see movie bring pillow girlfriend boyfriend keep occupied
1,definitely go back
1,eaten multiple time time food delicious
0,wife lobster bisque soup lukewarm
0,unless visually collect extant film austen work skip one
1,performance simply genius
0,probably not back honest
0,took hour get food table restaurant food luke warm sever running around like totally overwhelmed
1,understated film leaf lasting impression
1,review long overdue since consider tale two sister single greatest film ever made
1,love pho spring roll oh yummy try
0,lassie movie put sleep forever
1,sergeant pepper beef sandwich auju sauce excellent sandwich well
0,acting beyond abysmal
0,quite honestly often not good
1,go rent
0,please stay away shrimp stir fried noodle
1,believe place great stop huge belly hankering sushi
0,tired clich lazy writing come thick fast
0,drink weak people
1,considering two u left full happy not go wrong
0,not waste time watching rubbish non researched film
1,reasonably priced also
0,worst sappiest dialogue could go
1,poised amazing
0,movie almost no action scene little comedy
0,movie lack visual interest drama expression feeling celebration patriotism underline narrative
1,watched two sunday ago march th began really enjoy time taped entire thing
1,also great directing photography
1,food excellent service good
1,pro large seating area nice bar area great simple drink menu best brick oven pizza homemade dough
1,say would hardest decision honestly dish taste supposed taste amazing
0,highly unrecommended
1,cow tongue cheek taco amazing
1,liked movie like matrix better yet sequel think appreciate thought provoking mindblowing experience film give
1,thoroughly enjoyed christopher eccleston took control tardis continuation series
1,subtle connection three film awesome
0,bored throughout whole damn thing
1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger
1,rate movie
1,great double cheeseburger
1,not forget movie
1,pretty good beer selection
0,much like go back not get passed atrocious service never return
0,slow
0,filmiing le expansive
1,witty delightful adaptation dr seuss book brilliantly animated upa finest thoroughly deserving academy award
0,sorry not getting food anytime soon
1,ray charles legendary
1,simply beautiful
1,bread made house
0,think food flavor texture lacking
0,not thing
1,black water thriller manages completely transcend limitation indie flick continually subverting expectation emerge intense experience
0,regrettably film fails
0,even say torture
0,concert sequence sucked
1,advise anyone go see
1,definately enjoyed
0,chicken wing contained driest chicken meat ever eaten
0,asked multiple time wine list time ignored went hostess got one
0,hackneyed writing certainly made even worse bad directing
1,one nice thing added gratuity bill since party larger not expect tip
0,one worst film ever seen
0,whatever avoid groove antithesis good human traffic
0,service suck
0,highly doubt anyone could ever like trash
1,food delicious bartender attentive personable got great deal
0,imagine every single one decision made wrong
1,beautiful directed film nicola roeg wih sublime cast
0,spend money time place else
0,chicken dish ok beef like shoe leather
1,great sound effect impressive special effect not recommend movie enough
0,directing sloppy best
0,best luck rude non customer service focused new management
1,seriously good pizza expert connisseur topic
1,feeling thought gabriel discomfort dance intangible leap life come within viewer grasp huston portrayal
0,lewis black considerable talent wasted incendiary unrestrained pg rating certainly not allow
0,plot not hang together acting absolutely appalling
0,not take seriously
1,close house low key non fancy affordable price good food
0,disappointed
1,film sole bright spot jonah hill look almost unrecognizable fan recent superbad due amount weight lost interim
0,disappointed movie
1,really hope team behind movie make movie continue kinda weird style
0,overall not impressed would not go back
0,cashier no care ever say still ended wayyy overpriced
1,word content level film enough easily fill dozen film
0,movie bad
0,place eat no circumstance would ever return top list
1,massive level massive unlockable character massive game
0,one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character much
0,waited waited
0,presentation food awful
1,lange become great actress
0,tried go lunch madhouse
1,rest cast also play well
1,anne heche utterly convincing
1,not know pulled pork could soooo delicious
0,beware not trashy cult movie trash period
1,totally believable
1,good intention made film great film might one greatest film ever made
1,not small family restaurant fine dining establishment
1,assure back
1,scripting subtle comedy unmatched movie recent year
0,opened sandwich impressed not good way
0,mortified
1,really find funny
0,failed convey broad sweep landscape great part original
1,great movie
0,real sushi lover let honest yama not good
0,predictable even chick flick
1,also serve indian naan bread hummus spicy pine nut sauce world
0,not good money
0,anyway not think go back
1,however pretty good acting least type film
1,fun funny movie
1,went tigerlilly fantastic afternoon
0,one boring horror movie mainly start slow center boring atmosphere
0,not deal good enough would drag establishment
0,not even good camp value
0,movie make sick watching slacker make excuse stupid action minute
1,stopped place madison ironman friendly kind staff
1,movie full wonderful dancing hence title
0,probably would better director not spent movie showcasing art work really not noteworthy
1,practically perfect true masterpiece sea faux masterpiece
1,thing really worth watching scenery house beautiful
1,number one best th game series
1,score mostly plot
0,high hope place since burger cooked charcoal grill unfortunately taste fell flat way flat
0,certainly not mean distinction good way
0,ordered appetizer took minute pizza another minute
0,sashimi poor quality soggy tasteless
0,place lacked style
0,not understand garbage got shelf movie store not even real movie
1,go back next trip
1,kevin spacey excellent verbal tsunami buddy ackerman totally believable great actor
1,check
0,today graphic crap
0,find wasting food despicable not food
0,get simply nothing lower
1,kris kristoffersen good movie really make difference
1,stanwyck morgan perfectly cast many way modern equivalent dickens christmas carol sensibility
1,everything perfect night
0,everything movie stupid
0,truly truly bad film
1,definitely one better documentary seen looking family relationship marriage
1,crouton also taste homemade extra plus
1,classy warm atmosphere fun fresh appetizer succulent steak baseball steak
0,acting like watching wooden puppet moving around reading book bad
0,worst hour half life oh gosh
0,owner really really need quit soooooo cheap let wrap freaking sandwich two paper not one
0,not ever go
0,due fact took minute acknowledged another minute get food kept forgetting thing
0,wish could enter negative value admins
0,food par denny say not good
1,initially local site film filmed buffalo intrigued
1,kind money wasted properly
0,honeslty not taste fresh
0,horrible not waste time money
1,patio seating comfortable
1,story told eloquently francis ford coppola year earlier really unfolds gradually leaf room character develop
1,raw sublimely moving
0,hour minute sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking
1,hayao miyazaki latest eighth film studio ghibili gake no ue no ponyo ponyo cliff sea wonderfully fun imaginative look childhood
1,seen many movie starring jaclyn smith god one best though came year ago
1,excellent
0,pale color instead nice char no flavor
0,place deserves no star
1,love owner chef one authentic japanese cool dude
1,went happy hour great list wine
1,definitely worth checking
1,consider excellent story solid acting look film added bonus
1,everyone attentive providing excellent customer service
1,last minute movie also not bad well
0,bad
1,riot see hugo weaving play sex obsessed gay real estate salesman us client house tryst flaming darren tom hollander
1,seasonal fruit fresh white peach puree
1,not much pasta love homemade hand made pasta thin pizza
1,result powerhouse achievement made timely perhaps culture disturbing fascination celebrity distorted interpretation fame
1,want first say server great perfect service
1,food good
0,service not par either
1,course footage grainy enhanced film
1,heart place
0,movie mind bendingly awful not even created
0,everything bad
0,not good
1,chip sals amazing
0,sauce tasteless
1,angus scrimm also turn good performance somewhat brief memorable role gently menacing violin playing anatomist doctor quinn
0,wanted leave
1,still like movie empowerment woman not enough movie like one
1,chef friendly good job
0,movie littered overt racial slur towards black cast member return white depicted moron boob
0,convention never worked well past certainly not work
0,unfortunately virtue film production work lost regrettable script
0,not going back anytime soon
1,rather enjoyed
1,service friendly inviting
1,good food good service
0,almost everyone involved must return school acting utterly predictable bad script pile garbage round
1,assure not disappointed
0,watched price inflate portion get smaller management attitude grow rapidly
1,actually graphic good time
0,turkey roast beef bland
0,could drive semi truck hole
0,not even hello right
1,guess liked detail dysfunction believable
1,also right balance war love
0,seems like good quick place grab bite familiar pub food favor look elsewhere
0,someone order two taco not think may part customer service ask combo ala cart
0,overall not think would take parent place made similar complaint silently felt
0,death row scene entirely unmoving
0,chilly unremarkable movie author living working chilly abstruse culture
0,took min get milkshake nothing chocolate milk
0,cinematography called sucked
0,movie terribly boring place
1,promise not disappoint
1,good joint
0,no one table thought food average worth wait
1,scream legit book somethat also pretty rare vega
1,wonderful experience made place must stop whenever town
0,guess nobody network aired dribble watched putting
1,place two thumb way
0,chipolte ranch dipping sause tasteless seemed thin watered no heat
0,crust not good
0,sushi lover avoid place mean
1,cashier friendly even brought food
1,never forget
0,not seen not waste time
